2,7,3,2,1,GSC.ATE.2017,Software Development,Site Design,Engineering,12/22/2017,3,65,195,FALSE
3,8,3,2,1,GSC.ATE.2018,Software Development,Site Design,Engineering,1/26/2018,4.5,65,292.5,FALSE
4,9,3,2,1,GSC.ATE.2018,Software Development,Site Design,Engineering,2/2/2018,4,65,260,FALSE
5,10,3,2,1,GSC.ATE.2018,ATE Reference Guide,Documentation,Engineering,2/8/2018,5,65,325,FALSE
6,10,3,2,1,GSC.ATE.2018,Software Help Guide,Documentation,Engineering,2/8/2018,21,65,1365,FALSE
9,11,3,2,1,GSC.ATE.2018,ATE Development,Site Design,Engineering,3/2/2018,3,65,195,FALSE
12,12,3,2,1,GSC.ATE.2018,Software Development,Office Design,Engineering,4/4/2019,4,65,260,FALSE
13,12,3,2,1,GSC.ATE.2018,Software Development,Office Design,Engineering,4/9/2019,4,65,260,FALSE
14,12,3,2,1,GSC.ATE.2018,Software Development,Office Design,Engineering,4/6/2019,5,65,325,FALSE
15,12,3,2,1,GSC.ATE.2018,Software Development,Office Design,Engineering,4/13/2019,7,65,455,FALSE
18,12,3,2,1,GSC.ATE.2018,Software Debug,Site Debug,Engineering,4/26/2019,3,65,195,FALSE
19,12,3,2,1,GSC.ATE.2018,Software Development,Office Design,Engineering,4/27/2019,4,65,260,FALSE
23,13,3,2,1,GSC.ATE.2018,Field Laptop Development,Field Design,Engineering,3/11/2018,4,65,260,FALSE
24,13,3,2,1,GSC.ATE.2018,Field Testing Research,Field Design,Engineering,3/9/2018,4,65,260,FALSE
25,13,3,2,1,GSC.ATE.2018,Software Development,Site Debug,Engineering,11/16/2018,3,65,195,FALSE
26,13,3,2,1,GSC.ATE.2018,Software Development,Office Design,Engineering,11/17/2018,5,65,325,FALSE
27,14,3,2,1,GSC.ATE.2018,Field Laptop Update,Field Design,Engineering,3/23/2018,4,65,260,FALSE
28,14,3,2,1,GSC.ATE.2018,Data Model Development,Office Design,Engineering,3/27/2018,6,65,390,FALSE
